,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
29,600809.SH,20210104,375.29,387.0,370.21,373.63,375.29,-1.66,-0.4423,83244.36,3145664.001
28,600809.SH,20210105,373.0,387.44,367.5,385.65,373.63,12.02,3.2171,76708.62,2907817.705
27,600809.SH,20210106,390.5,406.3,388.36,395.0,385.65,9.35,2.4245,80292.98,3183389.536
26,600809.SH,20210107,399.9,423.69,388.83,423.69,395.0,28.69,7.2633,62136.55,2517847.449
25,600809.SH,20210108,419.2,434.0,401.93,411.99,423.69,-11.7,-2.7615,93110.56,3883118.23
24,600809.SH,20210111,408.0,418.0,381.0,388.8,411.99,-23.19,-5.6288,114380.18,4543129.968
23,600809.SH,20210112,381.0,399.79,379.01,398.76,388.8,9.96,2.5617,79336.22,3117970.821
22,600809.SH,20210113,397.98,404.44,388.47,397.0,398.76,-1.76,-0.4414,62442.72,2471825.129
21,600809.SH,20210114,396.0,396.0,371.0,389.2,397.0,-7.8,-1.9647,66534.76,2543602.743
20,600809.SH,20210115,386.42,386.5,355.54,371.61,389.2,-17.59,-4.5195,98785.84,3628163.095
19,600809.SH,20210118,367.0,373.71,356.88,373.5,371.61,1.89,0.5086,69445.58,2528960.523
18,600809.SH,20210119,376.0,388.44,350.04,358.0,373.5,-15.5,-4.1499,80191.51,2945858.884
17,600809.SH,20210120,351.0,363.8,339.0,361.0,358.0,3.0,0.838,78520.51,2763426.181
16,600809.SH,20210121,357.0,383.18,357.0,378.0,361.0,17.0,4.7091,68009.72,2532449.62
15,600809.SH,20210122,378.37,381.9,363.6,374.56,378.0,-3.44,-0.9101,55532.18,2069849.203
14,600809.SH,20210125,377.37,397.2,375.5,391.09,374.56,16.53,4.4132,84549.38,3302387.862
13,600809.SH,20210126,391.48,391.5,366.88,367.5,391.09,-23.59,-6.0319,66526.72,2504951.919
12,600809.SH,20210127,361.0,369.2,350.32,363.0,367.5,-4.5,-1.2245,59937.91,2161534.111
11,600809.SH,20210128,356.31,365.5,353.0,358.0,363.0,-5.0,-1.3774,48221.35,1731478.196
10,600809.SH,20210129,362.55,384.23,362.55,374.42,358.0,16.42,4.5866,80070.46,2997474.902
9,600809.SH,20210201,378.0,393.93,375.02,377.2,374.42,2.78,0.7425,66280.55,2542231.428
8,600809.SH,20210202,384.38,404.04,384.38,403.0,377.2,25.8,6.8399,77303.54,3061869.521
7,600809.SH,20210203,403.0,405.5,390.5,404.04,403.0,1.04,0.2581,73128.01,2916895.695
6,600809.SH,20210204,404.22,416.2,390.0,391.56,404.04,-12.48,-3.0888,82179.22,3291825.565
5,600809.SH,20210205,396.99,412.0,382.71,396.0,391.56,4.44,1.1339,80633.98,3228268.7
4,600809.SH,20210208,398.0,413.0,390.01,395.0,396.0,-1.0,-0.2525,65939.35,2636216.388
3,600809.SH,20210209,399.9,405.46,396.2,403.22,395.0,8.22,2.081,61783.87,2485393.595
2,600809.SH,20210210,410.0,443.54,410.0,443.54,403.22,40.32,9.9995,116159.59,5083966.255
1,600809.SH,20210218,454.03,464.97,444.24,456.0,443.54,12.46,2.8092,90478.86,4116227.761
0,600809.SH,20210219,450.01,454.0,410.47,423.81,456.0,-32.19,-7.0592,94252.86,4000201.605
